DATE(Power.updateTime)	MAX(Power.northSupply)	MAX(Power.northUsage)	MAX(Power.centerSupply)	MAX(Power.centerUsage)	MAX(Power.southSupply)	MAX(Power.southUsage)	MAX(Power.eastSupply)	MAX(Power.eastUsage)
2016-12-23	847.4	991.5	837.5	716	1107.8	965.8	3.3	41.5
2016-12-24	733.2	866.7	766.3	669.2	995.8	874.3	3.2	40.8
2016-12-25	662.1	855.1	804.3	627.2	914.4	838.1	3.2	41.6
2016-12-26	848.7	989.1	797.1	720.7	1048.6	935.2	3.2	43.4
2016-12-27	873.2	1003.2	848.8	711.6	1013.1	959	4	42.7
2016-12-28	864.4	994.2	792	725.2	1054.3	937.2	6.4	42.6
2016-12-29	850.6	979.4	835	705.4	1038.6	941	6.3	42.4
2016-12-30	761.6	945	805.7	695.7	1072.4	930.9	5	40.3
2016-12-31	692.6	841.4	772.8	645.6	914.5	837.2	3.2	42.8
2017-01-01	594.8	803	784	619.4	923.7	808.6	3	40.9
2017-01-02	644.3	880.2	824.4	655.6	965.3	838.5	3	41.1
2017-01-03	783.9	1042.4	818.1	745.2	1196.8	937.1	2.7	39.6
2017-01-04	840.6	1050	803.2	773.4	1165.5	936.2	2.6	41.7
2017-01-05	890	1059.9	795.6	781.9	1148	922.1	2.6	41.6
2017-01-06	849.5	1049.3	825.7	749.5	1173.6	932.6	6.6	40.4
2017-01-07	711.3	920.3	768	700.4	1091.3	872.9	7.4	42.3
2017-01-08	699.7	864	766.3	662.4	950.8	816.8	7.1	41.3
2017-01-09	835.7	1010.9	819	739.4	1116.5	938.6	4.7	41.2
2017-01-10	817	1017.4	864.8	752.6	1105.3	941.3	4.5	40.3
2017-01-11	917.8	1025.3	790.1	760.9	1116.5	948.4	3.4	41.5
2017-01-12	837.1	1029.2	829.1	744.1	1133.7	981.7	4.4	41.2
2017-01-13	853.5	1009.1	798.7	733	1091.4	930.5	6	40
2017-01-14	663.2	873.2	779.3	667.6	1022.2	878.1	5.9	38.7
2017-01-15	619.9	881.9	826.5	650.3	946	822.2	6.6	40.4
2017-01-16	831.5	1002.8	836.7	748	1079.6	926.4	6.9	40.3
2017-01-17	878.4	1013.4	780.9	762.3	1112.6	933.4	6.7	40.6
2017-01-18	873.3	1024.2	801.3	732.8	1118.7	953.6	4.3	41.4
2017-01-19	898.3	1022.6	774	724.1	1129.3	974.5	6.9	40.9
2017-01-20	764.1	1005.7	829.2	721	1165.3	937	6.8	39.5
2017-01-21	674.5	892.6	802.3	670.4	997.7	875.4	6.7	40.5
2017-01-22	571.1	866	816.2	641.6	1028.4	861.4	4	39.6
2017-01-23	782.3	990.8	835.1	732.3	1084.6	908.8	5.6	39.2
2017-01-24	819.4	979.5	834.3	721.3	1043.1	910.7	4.5	37.3
2017-01-25	656.8	798.1	669.2	608.6	888.9	780.7	3.3	30.8
2017-04-19	976.6	1096.4	900.7	814.1	1090.2	1020.9	6.3	42.7
2017-04-20	979.9	1146.6	926.9	815.7	1140.1	1044.9	5.9	43.7
2017-04-21	991.2	1163.3	937.2	824.4	1163.7	1034.8	6.2	42.4
2017-04-22	844.2	882.6	831.3	664.6	853.4	901.8	15.8	37.3
2017-04-23	706.5	844.8	841.6	647.9	847.9	845.4	15.9	37.2
2017-04-24	951.5	1028.4	904.1	779.5	967.8	966	16.3	38.5
2017-04-25	1002.1	1071.8	896.6	782.2	1033.3	1001.9	15.8	43.1
2017-04-26	1023.8	1122.6	954.2	827	1064.7	1038.8	13.3	41.4
2017-04-27	958.8	1020.8	911.4	738.5	988.2	1006.1	17.6	38.5
2017-04-28	922.9	998.4	816.8	733.6	1009.8	960.5	17.6	37.9
2017-04-29	781.5	849.3	782	674	961.2	872.2	15.5	38.9
2017-04-30	833.1	844.8	769.2	655.4	833.9	840.2	11.8	40.4
2017-05-01	813.9	915	834	679.6	925.4	898.4	9.8	41.9
2017-05-02	986	1096.8	979.8	790.9	1038.8	1014	10.7	43.2
2017-05-03	1019.5	1162	971.1	829.1	1089.2	1052.5	10.5	43.2
2017-05-04	1034.3	1185.1	982.8	841.4	1117.2	1055.4	9.5	42.2
2017-05-05	1020.4	1187.6	998.7	856.9	1143.1	1080.9	9.3	41.6
2017-05-06	879.2	956	833.1	742.2	1066.2	998.7	8.8	41.9
2017-05-07	785.6	898	899.2	706.2	896.9	921.1	9.3	42.1
2017-05-08	981.5	1188.4	1010	846.5	1161.8	1068.8	10.4	43.6
2017-05-09	1004.2	1149.3	953	854.4	1174.4	1089.2	10.4	47
2017-05-10	1029.8	1228.9	1012.1	862.5	1184.5	1104.7	9.6	44.9
2017-05-11	1103.6	1255	1047.2	873.4	1168.7	1087.9	12.6	43.1
2017-05-12	1132.3	1236	1038.4	871.2	1112	1102.5	8.5	40.9
2017-05-13	1007	975.9	856	783.1	957.1	996	7.5	41.9
2017-05-14	838.8	949.7	879.9	735.5	903.3	915.2	9.5	40.1
2017-05-15	1066	1223.6	1034.4	856.2	1105.9	1080.5	8.3	43.6
2017-05-16	1036.5	1099.9	959.6	818.3	1011.8	1014	16.3	40.1
2017-05-17	980.1	1118.9	963.8	815.1	1034.4	1023	16.7	40.9
2017-05-18	1037	1147.2	986.2	857.8	1096.7	1057.1	13.2	41
2017-05-19	1068	1139	935.1	860.4	1092.8	1047.8	11.6	39.3
2017-05-20	902.1	939.6	868.5	743.1	893.7	915.5	13	40.9
2017-05-21	880.2	921	844.6	710.2	888.6	909.5	12	41
2017-05-22	1106.3	1177.9	995	878.9	1098.3	1076.7	12.2	43.5
2017-05-23	1120.5	1227.4	1071.8	904.8	1068.7	1070.5	12.2	44
2017-05-24	1145.3	1261.1	1066.1	899.9	1071.5	1073.4	10.7	43.8
2017-05-25	1083.7	1122.5	950.4	874	1047.4	1060.7	9.6	41.3
2017-05-26	1074.8	1089.8	968.8	837.2	977.4	1051.6	10.4	38.7
2017-05-27	912.4	904.7	885.5	727.4	896.1	950.4	16.1	41.5
2017-05-28	813.3	868.9	880.8	698	821.6	900.6	15.7	41.6
2017-05-29	913.9	922.3	836.6	722.5	878.9	917.9	12.5	41.6
2017-05-30	843.9	957.8	976.5	735.2	820.5	910.4	12.8	41.6
2017-05-31	1148.5	1250.4	977.7	883.9	1114.3	1070.2	12.8	46
2017-06-01	1099.6	1256.9	1020	835.5	1096.2	1054.3	17.1	46.4
2017-06-02	1082.3	1237.9	971.6	841.8	1101.2	1059.4	17.5	45.7
2017-06-03	990.7	1135.9	933.5	780.9	1067.9	1036.8	14.1	41.9
2017-06-04	788.4	987.1	985.4	702.9	871.2	917.9	14	43
2017-06-05	1092.6	1221.8	968	900.7	1108.3	1050.7	14	45.5
2017-06-06	1123.6	1288.6	1034.4	925	1119.9	1032.7	14.1	47.4
2017-06-07	1114	1334.5	1097.2	947	1168.3	1071.7	14.3	48.3
2017-06-08	1117	1332.1	1047.8	891.2	1212	1101.5	16.9	47.6
2017-06-09	1112.5	1334.9	1068.7	904.2	1178.7	1093.9	17	46.3
2017-06-10	1049.9	1159.4	938.6	846.9	1102.3	1030.1	17.2	47.2
2017-06-11	1008.8	1082.3	947.6	751.1	958.5	1030.4	16	49
2017-06-12	1171	1340.5	1100	916.9	1137.3	1116.7	17.4	50.8
2017-06-13	1155	1334.5	1071.6	910.1	1188.2	1115.3	11.7	48.2
2017-06-14	1126.4	1213.2	1004.3	841.4	1074.6	1079.6	11.8	44.2
2017-06-15	1043.9	1129.8	928.1	814.9	1059.2	1022.6	17.3	40.9
2017-06-16	1014.4	1170.3	973.3	819.4	1079.9	1049.9	15.7	42.4
2017-06-17	875.5	971.7	864.4	739.2	964.8	945.1	14.6	42.1
2017-06-18	814.7	938.3	889.5	692.9	890.7	920.2	14.7	43.3
2017-06-19	1005.2	1167.7	969.4	813.5	1124.9	1068	14.7	42.6
2017-06-20	1038.1	1232.1	952.9	823.6	1186.8	1083.1	14.3	44.8
2017-06-21	1161.8	1292.4	1002.8	863.7	1169.1	1119.9	17.1	47.4
2017-06-22	1216.2	1340.5	1035.9	872.1	1194.1	1161	17	49.5
2017-06-23	1210.2	1342.5	1041	924.2	1145	1095.5	17.1	50
2017-06-24	1038.5	1161.9	962.6	827.5	1066.8	1023.2	14.4	50
2017-06-25	983.3	1112.8	1038	794.4	921.6	967.5	16.3	49.4
2017-06-26	1214.5	1393.6	1007.4	913.2	1256.4	1156.8	15.4	51.8
2017-06-27	1211.6	1399.2	1024.9	910.9	1242.9	1134.6	15	48.8
2017-06-28	1199.3	1400	1037.8	909.9	1245.4	1138.1	14.4	50.7
2017-06-29	1211.7	1403	1020.2	912.2	1246.9	1123.2	14.3	51.6
2017-06-30	1193.1	1370.6	1011.1	919.9	1252.5	1118.4	9.6	48.8
